Device, Measure Date Time, Exist
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:00:27, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:01:30, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:02:30, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:03:32, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:04:34, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:05:41, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:06:43, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:07:45, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:08:51, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:09:55, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:11:05, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:12:06, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:13:11, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:14:16, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:15:21, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:16:24, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:17:29, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:18:33, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:19:38, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:20:43, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:21:46, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:22:50, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:23:59, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:25:10, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:26:14, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:27:15, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:28:20, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:29:22, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:30:27, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:31:37, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:32:40, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:33:45, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:34:56, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:36:00, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:37:05, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:38:10, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:39:15, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:40:19, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:41:24, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:42:31, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:43:33, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:44:43, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:45:47, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:46:50, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:47:54, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:48:59, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:50:04, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:51:15, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:52:19, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:53:24, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:54:30, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:55:34, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:56:41, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:57:43, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:58:44, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T02:59:54, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:00:59, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:02:03, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:03:08, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:04:16, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:05:20, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:06:21, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:07:28, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:08:33, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:09:37, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:10:42, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:11:42, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:12:52, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:13:53, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:15:03, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:16:07, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:17:18, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:18:22, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:19:28, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:20:36, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:21:42, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:22:47, true
9A38F234-2D0B-487D-89B1-7D7DC7A00F0B, 2021-02-08T03:23:50, true
