Device, Measure Date Time, Exist
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:00:27, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:01:27, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:02:33, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:03:34, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:04:34, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:05:37, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:06:37, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:07:37, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:08:38, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:09:41, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:10:42, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:11:46, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:12:49, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:13:50, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:14:53, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:15:57, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:16:59, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:18:00, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:19:04, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:20:07, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:21:10, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:22:15, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:23:15, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:24:19, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:25:21, true
7015F3D8-DAF3-873B-6E3D-CD8B6761313D, 2021-02-02T01:26:22, true
