Device, Measure Date Time, Exist
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:00:28, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:01:29, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:02:32, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:03:35, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:04:38, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:05:39, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:06:46, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:07:47, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:08:49, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:09:51, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:10:56, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:12:00, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:13:04, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:14:07, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:15:09, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:16:12, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:17:13, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:18:19, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:19:21, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:20:23, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:21:24, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:22:29, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:23:33, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:24:33, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:25:34, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:26:35, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:27:40, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:28:42, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:29:44, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:30:46, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:31:49, true
AC820428-4383-ABA3-4565-B2BB3AC6F03D, 2021-01-31T00:32:49, true
