Device, SerialNo, Battery Level, Measure Date Time, Temperature, Step, Calorie, Sleep State, Sleep Hour, Sleep Minute
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:34:00, 4, 0, 7, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:35:00, 5, 0, 8, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:36:00, 6, 0, 7, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:37:00, 7, 0, 8, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:38:00, 7, 0, 7, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:39:00, 8, 0, 8, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:40:00, 7, 0, 9, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:41:00, 7, 0, 9, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:42:00, 5, 0, 10, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 78, 2021-01-23T16:43:00, 4, 0, 10, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 41, 2021-01-23T16:44:00, 3, 0, 10, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 41, 2021-01-23T16:45:00, 0, 0, 10, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 41, 2021-01-23T16:46:00, 0, 0, 10, 2, 0, 0
26FA2B8B-7EF5-48E2-8827-65538473A4BC, B180101893, 41, 2021-01-23T16:47:00, 2, 0, 10, 2, 0, 0
