SubjectID,year,month,day,sleepHour
cefoxSR1707004201,2021,1,28,23.8
cefoxSR1707004201,2021,1,29,23.933333333333334
cefoxSR1707004201,2021,1,30,23.95
cefoxSR1707004201,2021,1,31,22.166666666666668
cefoxSR1707004201,2021,2,1,23.433333333333334
cefoxSR1707004201,2021,2,2,23.95
cefoxSR1707004201,2021,2,3,23.9
cefoxSR1707004201,2021,2,4,23.95
cefoxSR1707004201,2021,2,5,23.85
cefoxSR1707004201,2021,2,6,23.983333333333334
cefoxSR1707004201,2021,2,7,23.983333333333334
cefoxSR1707004201,2021,2,8,23.983333333333334
cefoxSR1707004201,2021,2,9,23.983333333333334
cefoxSR1707004201,2021,2,10,23.983333333333334
cefoxSR1707004201,2021,2,11,23.983333333333334
cefoxSR1707004201,2021,2,12,23.983333333333334
cefoxSR1707004201,2021,2,13,23.983333333333334
cefoxSR1707004201,2021,2,14,23.983333333333334
cefoxSR1707004201,2021,2,15,23.983333333333334
cefoxSR1707004201,2021,2,16,23.983333333333334
cefoxSR1707004201,2021,2,17,20.966666666666665
cefoxSR1707004301,2021,1,25,4.0
cefoxSR1707004301,2021,1,26,23.983333333333334
cefoxSR1707004301,2021,1,27,23.983333333333334
cefoxSR1707004301,2021,1,28,23.983333333333334
cefoxSR1707004301,2021,1,29,23.983333333333334
cefoxSR1707004301,2021,1,30,7.166666666666667
cefoxSR1707005101,2021,1,21,11.35
cefoxSR1707005101,2021,1,22,0.85
cefoxSR1707005601,2021,1,26,14.033333333333333
cefoxSR1707005601,2021,1,27,23.983333333333334
cefoxSR1707005601,2021,1,28,23.983333333333334
cefoxSR1707005601,2021,1,29,23.983333333333334
cefoxSR1707005601,2021,1,30,23.983333333333334
cefoxSR1707005601,2021,1,31,23.983333333333334
cefoxSR1707005601,2021,2,1,23.983333333333334
cefoxSR1707005601,2021,2,2,23.983333333333334
cefoxSR1707005601,2021,2,3,23.983333333333334
cefoxSR1707005601,2021,2,4,23.983333333333334
cefoxSR1707005601,2021,2,5,23.983333333333334
cefoxSR1707005601,2021,2,6,23.983333333333334
cefoxSR1707005601,2021,2,7,23.983333333333334
cefoxSR1707005601,2021,2,8,23.983333333333334
cefoxSR1707005601,2021,2,9,23.983333333333334
cefoxSR1707005601,2021,2,10,23.9
cefoxSR1707005601,2021,2,11,23.983333333333334
cefoxSR1707005601,2021,2,12,23.983333333333334
cefoxSR1707005601,2021,2,13,23.983333333333334
cefoxSR1707005601,2021,2,14,23.983333333333334
cefoxSR1707005601,2021,2,15,23.983333333333334
cefoxSR1707005601,2021,2,16,23.983333333333334
cefoxSR1707005601,2021,2,17,22.983333333333334
