Device, SerialNo, Battery Level, Measure Date Time, Temperature, Step, Calorie, Sleep State, Sleep Hour, Sleep Minute
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:38:00, 1, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:39:00, 1, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:40:00, 1, 0, 9, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:41:00, 0, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:42:00, 0, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:43:00, 0, 0, 9, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:44:00, 0, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 75, 2021-01-21T12:45:00, 0, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 74, 2021-01-21T12:46:00, 0, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 73, 2021-01-21T12:47:00, 1, 0, 9, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 73, 2021-01-21T12:48:00, 1, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 73, 2021-01-21T12:49:00, 1, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 71, 2021-01-21T12:50:00, 1, 0, 9, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 71, 2021-01-21T12:51:00, 1, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 70, 2021-01-21T12:52:00, 1, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 70, 2021-01-21T12:53:00, 1, 0, 10, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 71, 2021-01-21T12:54:00, 1, 0, 9, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 71, 2021-01-21T12:55:00, 1, 26, 19, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 70, 2021-01-21T12:56:00, 0, 0, 9, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 69, 2021-01-21T12:57:00, 1, 42, 24, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 69, 2021-01-21T12:58:00, 1, 0, 9, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 69, 2021-01-21T12:59:00, 0, 61, 30, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 66, 2021-01-21T13:00:00, 0, 26, 19, 1, 0, 0
D9608EE5-0798-429F-8E25-8E1622D82379, B180101056, 83, 2021-01-21T13:01:00, 3, 0, 9, 2, 0, 0
