Device, SerialNo, Battery Level, Measure Date Time, Temperature
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-04T08:24:58, 35.5
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-04T08:27:18, 36.3
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-05T10:36:16, 36.4
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-06T08:46:57, 34.9
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-06T08:49:15, 36.2
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-07T08:17:13, 36.4
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-08T08:29:41, 36.0
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-09T08:30:50, 34.8
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-09T08:32:51, 35.7

FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-10T08:16:45, 36.4
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-10T21:18:55, 36.7
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-10T21:22:00, 42.0

FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-10T21:31:51, 36.7
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-10T21:46:07, 36.7
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-10T22:42:58, 36.0
FE7C1CDB-09B5-1CC1-7447-B4D613410A84, 5171000026, 40, 2021-02-11T01:29:07, 36.4
