Device, Measure Date Time, Exist
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:45:27, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:46:40, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:47:50, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:49:01, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:50:07, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:51:15, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:52:26, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:53:34, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:54:36, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:55:39, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:57:05, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:58:17, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T20:59:19, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:00:22, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:01:32, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:02:42, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:03:57, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:05:02, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:06:05, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:07:15, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:08:25, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:09:38, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:10:45, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:11:48, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:12:58, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:13:58, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:15:04, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:16:15, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:17:22, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:18:36, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:19:39, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:20:45, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:21:53, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:23:03, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:24:26, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:25:29, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:26:38, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:27:46, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:28:54, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:29:54, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:30:59, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:32:05, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:33:07, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:34:13, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:35:15, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:36:17, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:37:20, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:38:25, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:39:28, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:40:30, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:41:39, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:42:40, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:43:52, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:44:52, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:45:56, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:47:11, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:48:25, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:49:41, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:50:54, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:52:03, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:53:07, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:54:17, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:55:26, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:56:56, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:58:00, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T21:59:09, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:00:23, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:01:34, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:02:38, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:03:44, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:04:47, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:05:52, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:07:05, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:08:31, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:09:38, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:10:38, false
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:11:24, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:12:26, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:13:43, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:14:47, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:15:57, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:17:00, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:18:06, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:19:06, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:20:14, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:21:15, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:22:29, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:23:33, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:24:36, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:25:49, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:27:05, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:28:16, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:29:17, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:30:28, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:31:57, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:33:00, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:34:10, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:35:13, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:36:16, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:37:18, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:38:24, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:39:24, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:40:32, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:41:55, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:42:58, true
F1796107-A68D-4DAB-85CE-23D80D59C046, 2021-01-23T22:44:01, true
